CD_SETOR,V06004,V06001
431490205000001,5761.34,115.0
431490205000002,6166.13,77.0
431490205000003,6157.23,233.0
431490205000004,7754.6,143.0
431490205000005,4420.22,264.0
431490205000006,3683.45,160.0
431490205000007,4357.77,160.0
431490205000008,5646.57,111.0
431490205000009,4745.98,152.0
431490205000010,6287.4,127.0
431490205000011,5200.98,132.0
431490205000012,7222.0,226.0
431490205000013,6490.29,186.0
431490205000014,4409.31,159.0
431490205000015,8113.86,222.0
431490205000016,6969.76,188.0
431490205000017,9584.06,293.0
431490205000018,8254.92,120.0
431490205000019,5626.77,97.0
431490205000020,8273.04,270.0
431490205000021,5399.25,233.0
431490205000022,15708.14,150.0
431490205000023,6341.87,229.0
431490205000024,6872.95,297.0
431490205000025,6074.26,174.0
431490205000026,4552.38,114.0
431490205000030,4726.01,192.0
431490205000031,4900.33,173.0
431490205000032,3737.3,170.0
431490205000033,18388.9,180.0
431490205000034,10598.96,164.0
431490205000035,11079.87,219.0
431490205000036,4188.37,127.0
431490205000037,4757.39,150.0
431490205000038,3647.84,155.0
431490205000039,4798.54,203.0
431490205000040,4152.95,174.0
431490205000041,5527.13,202.0
431490205000042,3815.93,167.0
431490205000043,3624.78,168.0
431490205000044,4217.35,206.0
431490205000045,4922.01,272.0
431490205000046,4733.25,185.0
431490205000047,17459.15,278.0
431490205000048,4690.61,124.0
431490205000049,6412.06,172.0
431490205000050,4906.78,309.0
431490205000051,4014.96,282.0
431490205000052,5201.93,266.0
431490205000053,7607.6,146.0
431490205000054,5436.09,148.0
431490205000055,5641.71,134.0
431490205000057,4016.63,152.0
431490205000058,7197.05,231.0
431490205000059,4404.31,146.0
431490205000060,4488.07,270.0
431490205000061,6657.1,240.0
431490205000062,6497.96,235.0
431490205000063,5676.26,232.0
431490205000064,5270.68,277.0
431490205000065,11139.19,243.0
431490205000066,5205.0,214.0
431490205000067,6088.58,133.0
431490205000068,6731.23,189.0
431490205000069,6975.32,190.0
431490205000070,8313.83,198.0
431490205000071,7866.43,180.0
431490205000072,7164.68,162.0
431490205000073,8573.14,302.0
431490205000074,6976.84,231.0
431490205000075,5866.96,208.0
431490205000076,5972.02,118.0
431490205000077,5480.67,254.0
431490205000078,9691.46,188.0
431490205000079,5130.0,172.0
431490205000080,4968.15,174.0
431490205000081,5273.46,191.0
431490205000082,7015.28,145.0
431490205000083,5636.14,74.0
431490205000084,6644.12,171.0
431490205000085,5036.45,135.0
431490205000086,22805.98,180.0
431490205000087,4892.15,209.0
431490205000088,3892.97,275.0
431490205000089,5399.96,219.0
431490205000090,5547.14,196.0
431490205000091,4069.43,184.0
431490205000092,5974.67,174.0
431490205000093,5020.05,220.0
431490205000095,5679.71,86.0
431490205000096,5885.26,198.0
431490205000097,5247.84,81.0
431490205000098,14445.76,127.0
431490205000099,6710.8,183.0
431490205000100,5621.75,184.0
431490205000101,5302.74,278.0
431490205000102,7124.99,270.0
431490205000103,4428.99,241.0
431490205000104,4699.89,205.0
431490205000105,4821.44,254.0
431490205000106,3603.25,183.0
431490205000107,5471.52,191.0
431490205000108,5626.85,211.0
431490205000109,5092.07,86.0
431490205000110,4984.07,214.0
431490205000111,7155.77,247.0
431490205000112,5008.39,113.0
431490205000113,4841.8,222.0
431490205000114,4489.81,143.0
431490205000115,5914.6,169.0
431490205000116,6441.06,285.0
431490205000117,6803.88,156.0
431490205000118,4473.31,150.0
431490205000119,5915.52,223.0
431490205000120,6346.99,184.0
431490205000121,5096.85,160.0
431490205000122,6261.24,169.0
431490205000123,8638.3,378.0
431490205000124,10920.46,241.0
431490205000125,9485.16,179.0
431490205000126,8125.85,130.0
431490205000127,7275.93,206.0
431490205000128,5211.09,256.0
431490205000129,6301.28,155.0
431490205000130,5205.65,154.0
431490205000131,5837.25,209.0
431490205000132,5236.07,188.0
431490205000133,5769.89,207.0
431490205000134,5557.26,185.0
431490205000135,5880.04,85.0
431490205000136,5822.17,101.0
431490205000137,7700.31,133.0
431490205000138,5737.06,274.0
431490205000139,8428.38,230.0
431490205000141,8699.74,194.0
431490205000142,6610.35,107.0
431490205000143,7419.26,99.0
431490205000144,6351.98,118.0
431490205000145,7666.0,270.0
431490205000146,8563.88,201.0
431490205000147,9306.19,247.0
431490205000148,12669.52,166.0
431490205000149,6251.92,277.0
431490205000150,5892.74,165.0
431490205000151,6272.56,127.0
431490205000152,6499.3,164.0
431490205000153,5945.74,219.0
431490205000154,5243.62,162.0
431490205000155,6286.73,231.0
431490205000156,5880.54,163.0
431490205000157,6420.92,133.0
431490205000158,5856.02,105.0
431490205000159,7173.8,117.0
431490205000160,6157.05,206.0
431490205000161,6596.06,230.0
431490205000162,3811.77,150.0
431490205000163,4334.63,214.0
431490205000164,5811.88,189.0
431490205000165,6472.3,220.0
431490205000166,4686.95,150.0
431490205000167,6463.96,304.0
431490205000168,3856.31,210.0
431490205000169,4399.96,191.0
431490205000170,6175.48,202.0
431490205000171,8265.94,284.0
431490205000172,2524.49,63.0
431490205000174,7973.16,299.0
431490205000175,7519.05,419.0
431490205000176,7601.04,214.0
431490205000177,7779.43,264.0
431490205000178,3368.21,129.0
431490205000179,7015.48,297.0
431490205000180,6363.48,106.0
431490205000181,7703.1,260.0
431490205000182,7653.38,212.0
431490205000183,5188.88,267.0
431490205000184,6531.67,235.0
431490205000185,4661.11,164.0
431490205000186,6026.96,295.0
431490205000187,5742.05,173.0
431490205000188,5790.77,268.0
431490205000189,5555.82,179.0
431490205000190,7877.19,207.0
431490205000191,7169.78,205.0
431490205000192,8477.74,290.0
431490205000193,5770.66,193.0
431490205000194,6905.05,183.0
431490205000195,12229.74,247.0
431490205000196,7401.12,130.0
431490205000197,7508.93,205.0
431490205000198,7384.12,203.0
431490205000199,9153.98,238.0
431490205000200,7111.59,300.0
431490205000202,5919.45,111.0
431490205000203,8621.66,272.0
431490205000204,10658.33,291.0
431490205000205,9695.56,231.0
431490205000206,9386.44,297.0
431490205000207,13674.16,269.0
431490205000209,12334.54,228.0
431490205000211,9385.57,235.0
